                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.95556,                0.44592,                0.99485,                0.99445,                0.99406,                 0.9948,                0.85222,                0.66237,                0.27911,                0.89996,              0.0051985,              0.0051985,              0.0051985
                    100,                0.94801,                0.44283,                0.99265,                0.99445,                0.99409,                0.99475,                0.85351,                0.65558,                0.27763,                0.89823,               0.005149,               0.005149,               0.005149
                    101,                0.93665,                0.44146,                0.98631,                0.99603,                0.99347,                0.99479,                0.85407,                 0.6506,                0.27517,                0.89582,              0.0050995,              0.0050995,              0.0050995
                    102,                0.94043,                 0.4422,                0.98859,                0.99564,                0.99423,                0.99487,                 0.8563,                0.64508,                 0.2729,                0.89366,                0.00505,                0.00505,                0.00505
                    103,                 0.9336,                0.44047,                0.98632,                0.99446,                0.99595,                0.99489,                0.85741,                0.63869,                0.27194,                0.89089,              0.0050005,              0.0050005,              0.0050005
                    104,                0.92967,                0.43641,                0.98454,                0.99525,                0.99548,                0.99491,                0.85899,                0.63306,                0.26991,                0.88912,               0.004951,               0.004951,               0.004951
                    105,                0.92364,                0.43709,                0.98224,                0.99486,                0.99561,                0.99494,                0.86055,                0.62817,                0.26825,                0.88708,              0.0049015,              0.0049015,              0.0049015
                    106,                0.90911,                0.42409,                 0.9751,                0.99682,                0.99453,                0.99498,                0.86239,                0.62269,                0.26653,                0.88511,               0.004852,               0.004852,               0.004852
                    107,                0.91224,                0.42689,                0.97764,                0.99762,                0.99446,                0.99498,                0.86528,                0.61787,                0.26512,                0.88356,              0.0048025,              0.0048025,              0.0048025
                    108,                0.91583,                0.42542,                0.97534,                0.99806,                0.99406,                0.99498,                 0.8663,                0.61259,                0.26391,                0.88163,               0.004753,               0.004753,               0.004753
                    109,                0.91139,                0.42774,                0.97634,                0.99722,                 0.9943,                0.99497,                 0.8671,                0.60884,                0.26299,                0.88042,              0.0047035,              0.0047035,              0.0047035
                    110,                0.90617,                0.42278,                0.97365,                 0.9966,                0.99525,                0.99498,                0.86809,                0.60534,                0.26248,                 0.8791,               0.004654,               0.004654,               0.004654
                    111,                0.89921,                0.42358,                0.97346,                0.99722,                0.99538,                0.99498,                0.86951,                0.60178,                0.26125,                0.87813,              0.0046045,              0.0046045,              0.0046045
                    112,                0.89508,                  0.419,                0.97249,                0.99702,                0.99564,                0.99498,                0.87163,                0.59758,                0.25945,                0.87737,               0.004555,               0.004555,               0.004555
                    113,                0.88833,                0.41944,                0.96948,                0.99757,                0.99564,                0.99498,                0.87216,                0.59396,                 0.2576,                0.87635,              0.0045055,              0.0045055,              0.0045055
                    114,                0.88875,                0.41675,                 0.9693,                0.99801,                0.99546,                0.99498,                0.87285,                0.58961,                0.25621,                0.87514,               0.004456,               0.004456,               0.004456
                    115,                 0.8837,                0.41561,                0.96333,                0.99802,                0.99663,                0.99498,                0.87434,                0.58665,                0.25435,                0.87343,              0.0044065,              0.0044065,              0.0044065
                    116,                0.88199,                 0.4148,                0.96416,                0.99832,                0.99683,                0.99499,                  0.875,                0.58366,                0.25332,                0.87229,               0.004357,               0.004357,               0.004357
                    117,                0.87948,                0.41503,                0.96301,                0.99816,                0.99644,                0.99498,                0.87642,                0.57986,                0.25236,                0.87101,              0.0043075,              0.0043075,              0.0043075
                    118,                 0.8756,                0.41227,                0.96664,                0.99795,                0.99644,                0.99499,                0.87708,                0.57674,                0.25155,                0.87014,               0.004258,               0.004258,               0.004258
                    119,                0.86672,                0.40649,                0.95866,                0.99792,                0.99644,                0.99499,                0.87862,                0.57354,                0.25042,                0.86887,              0.0042085,              0.0042085,              0.0042085
                    120,                0.86777,                0.40784,                0.96066,                0.99791,                0.99604,                0.99499,                0.87972,                0.56949,                0.24929,                 0.8677,               0.004159,               0.004159,               0.004159
